number,kind,title,category,evidence,linked_fix_prs,status
10359,issue,flake: TestExecutorAutostopTemplateDisabled,concurrency/race,…7/job/17880492608) Closing this since I'm unable to reproduce with ``` go test -race -count=500 -failfast -v -run TestExecutorAutostopTemplateDisabled ``` Will take another look if it crops up again Seen [here](https://github.com/coder/coder/actions/runs/6856206483/job/18642946012) on main.,,closed
10396,issue,flake: TestWorkspaceDormant/OK reports too many audit logs,workspace/agent lifecycle,"… := workspace.LastUsedAt auditRecorder.ResetLogs() err := client.UpdateWorkspaceDormancy(ctx, workspace.ID, codersdk.UpdateWorkspaceDormancy{ Dormant: true, }) require.NoError(t, err) require.Len(t, auditRecorder.AuditLogs(), 1) <-- here ```",,closed
10408,issue,test flake: cliui/TestAgent missing lines,concurrency/race,"…nection Test: TestAgent/Disconnected ``` For the `Error_during_fetch` case, the race is that the agent retries fetching on a separate goroutine, on a timer, so there isn't a controlled number of fetch attempts before the primary agent go routine gets the result. The test is designed to give different fetch results by reading them off a list, so if there are multiple fetch attempts, it screws up the test. In order to …",,closed
10443,issue,test flake: TestServer/TracerNoLeak,concurrency/race,"test flake: TestServer/TracerNoLeak Goleak is apparently failing to parse some traces? ``` panic: Failed to parse stack trace: parse function: no function found: ""...additional frames elided..."" goroutine 14699 [running]: go.uber.org/goleak/internal/stack.getStackBuffer(0x31?) /home/runner/go/pkg/mod/go.uber.org/goleak@v1.3.0/internal/stack/stacks.go:240 +0x65 go.uber.org/goleak/internal/stack.getStacks(0xd0?) /home/…",,closed
10481,issue,flake: SSHKeyPage.test.tsx has too many element matches,browser/e2e/playwright,"flake: SSHKeyPage.test.tsx has too many element matches Had this happen earlier today, but for some reason, I can't find the logs in the actions that ran. Not sure if re-running the test caused the logs to get wiped. Either way, there's an issue that sometimes triggers on `SSHKeyPage.test.tsx`. [Here's a failing run](https://github.com/coder/coder/actions/runs/6589196703/job/17903112550) Here's what looks like the mo…",#10553,closed; linked_fix_merged
10578,issue,flake: TestSSH/RemoteForward: match deadline exceeded,networking/proxy/websocket,"flake: TestSSH/RemoteForward: match deadline exceeded Seen here: https://github.com/coder/coder/actions/runs/6797725835/job/18480442576 ``` ssh_test.go:431: 2023-11-08 11:45:26.687: cmd: read error: match deadline exceeded: context deadline exceeded (wanted ""i-am-ready""; got "" for the workspace agent to connect\r\n=== ✔ Waiting for the workspace agent to connect [871ms]\r\n==> ⧗ Running workspace agent startup script…",,closed
10600,issue,flake: Test_parseInsightsStartAndEndTime,timing/eventual consistency,"flake: Test_parseInsightsStartAndEndTime ``` === FAIL: coderd Test_parseInsightsInterval_week/9_days_(7_+_2)_are_not_acceptable (0.00s) insights_internal_test.go:239: Status: 400 insights_internal_test.go:240: Body: { ""message"": ""Query parameter has invalid value."", ""validations"": [ { ""field"": ""end_time"", ""detail"": ""Query param \""end_time\"" must have the clock set to 00:00:00"" } ] } insights_internal_test.go:242: Err…",,closed
10663,issue,flake: vscodessh logging,concurrency/race,flake: vscodessh logging Race condition triggered ``` cdr.dev/slog.Logger.log() /home/runner/go/pkg/mod/cdr.dev/slog@v1.6.2-0.20230929193652-f0c466fabe10/slog.go:212 +0x7c7 cdr.dev/slog.Logger.Debug() /home/runner/go/pkg/mod/cdr.dev/slog@v1.6.2-0.20230929193652-f0c466fabe10/slog.go:85 +0x164 github.com/coder/coder/v2/tailnet.Logger.func1() /home/runner/actions-runner/_work/coder/coder/tailnet/conn.go:1062 +0x86 tails…,,closed
10747,issue,e2e flake: start workspace with ephemeral parameters,browser/e2e/playwright,"e2e flake: start workspace with ephemeral parameters seen here: https://github.com/coder/coder/actions/runs/6891060293/job/18745339054 ``` pw:api navigated to ""http://localhost:3000/templates/83563fcd"" +147ms pw:api locator resolved to <html>…</html> +855ms pw:api <= expect.toHaveURL succeeded +0ms pw:api => page.goto started +1ms at helpers.ts:224 222 | } 223 | > 224 | await page.waitForSelector( | ^ 225 | ""span[dat…",,closed
10778,issue,flake: TestCollectInsights,workspace/agent lifecycle,"…postings t.go:84: 2023-11-14 12:54:58.741 [debu] workspaceapps.stats_collector: workspace app stats collector started t.go:84: 2023-11-14 12:54:58.745 [debu] provisionerd: dialing coderd t.go:84: 2023-11-14 12:54:58.746 [debu] provisionerd: start of acquireAndRunOne t.go:84: 2023-11-14 12:54:58.751 [debu] acquirer: acquiring job worker_id=9689deb2-1412-4d51-9327-1311c554d1f4 provisioner_types=""[echo terraform]"" tags=…",,closed
10791,issue,test flake: scaletest: Test_Runner/NoCleanup: peer is connected directly,networking/proxy/websocket,test flake: scaletest: Test_Runner/NoCleanup: peer is connected directly Apparently if both peers are on the same net with no endpoints they can still just end up connecting directly. Seen here: https://github.com/coder/coder/actions/runs/6931328284/job/18852836455?pr=10790 Error: ``` run_test.go:436: Error Trace: /Users/runner/work/coder/coder/scaletest/createworkspaces/run_test.go:436 Error: Received unexpected err…,,closed
10799,issue,flake: TestAgent_TCPRemoteForwarding,networking/proxy/websocket,"flake: TestAgent_TCPRemoteForwarding ``` agent_test.go:785: Error Trace: /home/runner/actions-runner/_work/coder/coder/agent/agent_test.go:785 /opt/hostedtoolcache/go/1.20.11/x64/src/runtime/asm_amd64.s:1598 Error: Not equal: expected: ""test"" actual : ""SSH-"" Diff: --- Expected +++ Actual @@ -1 +1 @@ -test +SSH- Test: TestAgent_TCPRemoteForwarding ``` https://github.com/coder/coder/runs/18851340826 flake: TestAgent_TC…",,closed
10824,issue,flake: TestDERP/HealthyWithNodeDegraded,networking/proxy/websocket,flake: TestDERP/HealthyWithNodeDegraded ``` derp_test.go:87: derp: 127.0.0.1:43854: client [hKqiw]: readFrameHeader: read tcp 127.0.0.1:38819->127.0.0.1:43854: read: connection reset by peer derp_test.go:128: Error Trace: /home/runner/actions-runner/_work/coder/coder/coderd/healthcheck/derphealth/derp_test.go:128 Error: Should be true Test: TestDERP/HealthyWithNodeDegraded derp_test.go:129: Error Trace: /home/runner/…,,closed
10829,issue,flake: Test_Runner/OK,networking/proxy/websocket,"…work/coder/coder/scaletest/createworkspaces/run.go:163 - check connection mode: peer is connected directly, not via DERP: github.com/coder/coder/v2/scaletest/agentconn.(*Runner).Run /Users/runner/work/coder/coder/scaletest/agentconn/run.go:96 Test: Test_Runner/OK ``` Seen [here](https://github.com/coder/coder/actions/runs/6950740689/job/18911442400?pr=10808) Not sure if this is still a problem or not, but I'd like to…",,closed
10832,issue,flake: TestWorkspaceAgentListeningPorts/LinuxAndWindows/OK,networking/proxy/websocket,…gPorts/LinuxAndWindows/OK ``` workspaceagents_test.go:679: expected to not find TCP port 35549 in response ``` seen on: https://github.com/coder/coder/actions/runs/6943682346/job/18902742899 flake: TestWorkspaceAgentListeningPorts/LinuxAndWindows/OK ``` workspaceagents_test.go:679: expected to not find TCP port 35549 in response ``` seen on: https://github.com/coder/coder/actions/runs/6943682346/job/18902742899 PR #1…,#10833,closed; linked_fix_merged
10947,issue,flake: enterprise/coderd TestWorkspaceAutobuild/DormantNoAutostart,workspace/agent lifecycle,flake: enterprise/coderd TestWorkspaceAutobuild/DormantNoAutostart ``` t.go:84: 2023-11-29 13:00:00.262 [debu] provisionerd.runner: sent CompletedJob job_id=73d37b8d-73c2-4fca-bbd9-e1626a7e37f0 template_name=lucid-hodgkin1-PW5 template_version=determined_saha3 workspace_build_id=235a3a8f-f4e3-4184-8ce0-62114dcb617f workspace_id=84f7ff30-8dc8-4140-b4c5-5207b19a7568 workspace_name=zealous-sammet3-iVz workspace_owner=te…,,closed
10957,issue,"flake: TestWorkspaceAutobuild/InactiveTTLOK:  should have 1 item(s), but has 2",workspace/agent lifecycle,"flake: TestWorkspaceAutobuild/InactiveTTLOK: should have 1 item(s), but has 2 Seen here: https://github.com/coder/coder/actions/runs/7048155721/job/19183699281?pr=10821#step:5:526 ``` workspaces_test.go:290: Error Trace: /Users/runner/work/coder/coder/enterprise/coderd/workspaces_test.go:290 Error: ""[{aa53de8b-76db-472b-914a-da092a7e0b7a 2023-11-30 14:53:41.189485 +0000 UTC 08ff3de8-8d75-4ac3-9b42-3f9d32334d22 50bef2…",,closed
10961,issue,"flake: coderd/TestWorkspaceBuild: AuditLogs should have 2 item(s), but has 1",workspace/agent lifecycle,"flake: coderd/TestWorkspaceBuild: AuditLogs should have 2 item(s), but has 1 Seen here: https://github.com/coder/coder/actions/runs/7046141275/job/19177378539 ``` workspacebuilds_test.go:51: got workspace build job e969763a-7c57-4a1b-8183-e4ddf461b919 workspacebuilds_test.go:54: Error Trace: /home/runner/actions-runner/_work/coder/coder/coderd/workspacebuilds_test.go:54 Error: ""[{a8ee7587-f680-4b40-9c3a-9b8254c3ef42 …",,closed
10977,issue,test flake:  WorkspaceSchedulePage: Unable to find a label with the text of: Enable Autostop,browser/e2e/playwright,"…AIL test src/pages/WorkspaceSettingsPage/WorkspaceSchedulePage/WorkspaceSchedulePage.test.tsx (28.031 s) ● WorkspaceSchedulePage › autostop › uses template default ttl when first enabled Unable to find a label with the text of: Enable Autostop Ignored nodes: comments, script, style <body> <div> <div class=""css-[18](https://github.com/ test flake: WorkspaceSchedulePage: Unable to find a label with the text of: Enable …",,closed
10978,issue,flake:  TestPaginatedUsers,resource exhaustion/timeout,"…expected error: Get ""http://localhost:38403/api/v2/users?limit=5&offset=20&q="": context deadline exceeded Test: TestPaginatedUsers/all_users_5 Messages: prev page === FAIL: coderd TestPaginatedUsers/username_search_3#01 (50.00s) user flake: TestPaginatedUsers ``` === Failed === FAIL: coderd TestPaginatedUsers/all_users_5 (50.00s) users_test.go:1865: Error Trace: /home/runner/actions-runner/_work/coder/coder/coderd/us…",,closed
10979,issue,flake: test-go-macos: TestPortForward/UDP_OnePort: match deadline exceeded: context deadline exceeded,networking/proxy/websocket,flake: test-go-macos: TestPortForward/UDP_OnePort: match deadline exceeded: context deadline exceeded Seen here: https://github.com/coder/coder/actions/runs/7058169983/job/19213216707?pr=10975 ``` 2023-12-01T09:31:01.7876690Z portforward_test.go:169: 2023-12-01T09:31:01.7877170Z Error Trace: /Users/runner/work/coder/coder/pty/ptytest/ptytest.go:347 2023-12-01T09:31:01.7877940Z /Users/runner/work/coder/coder/pty/ptyte…,,closed
10981,issue,"flake(windows): TestDERP/ConnectDERP, TestDERP/ReturnedInDERPMap",networking/proxy/websocket,"flake(windows): TestDERP/ConnectDERP, TestDERP/ReturnedInDERPMap Seen here: https://github.com/coder/coder/actions/runs/7058396101/job/19213887327 ``` === Failed === FAIL: enterprise/wsproxy TestDERP/ReturnedInDERPMap (0.00s) wsproxy_test.go:199: Error Trace: C:/a/coder/coder/enterprise/wsproxy/wsproxy_test.go:199 Error: ""map[%!s(int=999):%!s(*tailcfg.DERPRegion=&{true 999 coder Coder Embedded Relay false [0xc004d313…",,closed
10989,issue,flake: updateWorkspace.spec.ts e2e test,browser/e2e/playwright,"flake: updateWorkspace.spec.ts e2e test [Link to job](https://github.com/coder/coder/actions/runs/7060462551/job/19220076573) [Footage](https://github.com/coder/coder/assets/28937484/67b5f244-d98c-4f4c-bcf1-4a5903ec0921) Error: ```txt /home/runner/actions-runner/_work/coder/coder/site/e2e/helpers.ts:656: at helpers.ts:656 654 | ""']"", 655 | ); > 656 | await parameterField.check(); | ^ 657 | } else if (richParameter.ty…",,closed
11011,issue,flake: Test_ActivityBumpWorkspace,timing/eventual consistency,"flake: Test_ActivityBumpWorkspace https://github.com/coder/coder/actions/runs/7083108479/job/19274946870#step:5:317 ``` === FAIL: coderd Test_ActivityBumpWorkspace/TemplateDisallowsUserAutostop/US/Arizona (0.04s) activitybump_internal_test.go:260: Error Trace: /home/runner/actions-runner/_work/coder/coder/coderd/activitybump_internal_test.go:260 Error: ""2023-12-04 17:32:24.631084249 +0000 UTC"" is not greater than or …",,closed
11038,issue,flake: goleak sometimes flags goroutines relating to DNS lookups as leaks,concurrency/race,"flake: goleak sometimes flags goroutines relating to DNS lookups as leaks Seen here: https://github.com/coder/coder/actions/runs/7101380348/job/19329370549?pr=11033 Logs: ``` goleak: Errors on successful test run: found unexpected goroutines: [Goroutine 18625 in state IO wait, with internal/poll.runtime_pollWait on top of the stack: goroutine 18625 [IO wait]: internal/poll.runtime_pollWait(0x7f3bede7c028, 0x72) /opt/…",,closed
11078,issue,test flake: enterprise/tailnet: goroutine leakl: mappingQuery,concurrency/race,"test flake: enterprise/tailnet: goroutine leakl: mappingQuery Seen here: https://github.com/coder/coder/actions/runs/7127968542/job/19409011976 ``` === Failed === FAIL: enterprise/tailnet (0.00s) PASS goleak: Errors on successful test run: found unexpected goroutines: [Goroutine 348 in state chan send, with github.com/coder/coder/v2/enterprise/tailnet.(*querier).mappingQuery on top of the stack: goroutine 348 [chan s…",,closed
11081,issue,flaky: cli TestSSH_ForwardGPG,networking/proxy/websocket,"flaky: cli TestSSH_ForwardGPG I'm not sure if that's the root cause, but suspicious: ``` t.go:84: 2023-12-07 12:41:02.767 [warn] agent.ssh-server: listen on Unix socket for SSH unix forward request remote_addr=[fd7a:115c:a1e0:453f:b719:8cdf:b71a:9cd7]:30069 socket_path=/tmp/TestSSH_ForwardGPG2852518996/002/S.gpg-agent socket_path=/tmp/TestSSH_ForwardGPG2852518996/002/S.gpg-agent error=""listen unix /tmp/TestSSH_Forwar…",,closed
11094,issue,flake: enterprise/tailnet ,concurrency/race,"…318/job/19410972756) ``` === Failed === FAIL: enterprise/tailnet (0.00s) PASS goleak: Errors on successful test run: found unexpected goroutines: [Goroutine 2373 in state chan send, with github.com/coder/coder/v2/enterprise/tailnet.(*querier).mappingQuery on top of the stack: goroutine 2373 [chan send]: github.com/coder/coder/v2/enterprise/tailnet.(*querier).mappingQuery(0xc000af81c0, {0xd0, 0xec, 0x53, 0x40, 0xc6, 0…",,closed
11097,issue,flake: TestUserActivityInsights_BadRequest ,timing/eventual consistency,flake: TestUserActivityInsights_BadRequest Seen on [main](https://github.com/coder/coder/actions/runs/7136073396/job/19433957956) ``` === FAIL: coderd TestUserActivityInsights_BadRequest (0.01s) t.go:84: 2023-12-08 01:16:25.938 [debu] acquirer: subscribed to job postings t.go:84: 2023-12-08 01:16:25.938 [debu] workspaceapps.stats_collector: workspace app stats collector started t.go:84: 2023-12-08 01:16:25.938 [debu]…,,closed
11149,issue,test flake: TestExecutorRequireActiveVersion: not waiting long enough for template version import job,workspace/agent lifecycle,test flake: TestExecutorRequireActiveVersion: not waiting long enough for template version import job Seen here: https://github.com/coder/coder/actions/runs/7179522755/job/19549878624?pr=11108 ``` lifecycle_executor_test.go:875: Error Trace: C:/a/coder/coder/coderd/coderdtest/coderdtest.go:977 C:/a/coder/coder/coderd/autobuild/lifecycle_executor_test.go:875 Error: Received unexpected error: POST http://localhost:6516…,,closed
11166,issue,test flake: TestPGCoordinatorDual_Mainline,concurrency/race,"…2e38-432b-9d1e-4c29ade2ad58 peer_id=934d2720-4b1c-4b0d-af06-5fb6fc3659b2 error=""context canceled"" *** slogtest: log detected at level ERROR; TEST FAILURE *** ``` test flake: TestPGCoordinatorDual_Mainline Seen here: https://github.com/coder/coder/actions/runs/7186818506/job/19573060532 ``` t.go:93: 2023-12-12 20:19:55.916 [erro] coord1.pgcoord.querier: failed to enqueue node update coordinator_id=2e4b0f96-2e38-432b-9…",,closed
11175,issue,flake: scaletest/workspacetraffic TestRun/RPTY,workspace/agent lifecycle,flake: scaletest/workspacetraffic TestRun/RPTY Seen on https://github.com/coder/coder/runs/19555780615 ``` run_test.go:136: read errors: 0 run_test.go:137: write errors: 0 run_test.go:138: bytes read total: 5464 run_test.go:139: bytes written total: 5120 run_test.go:142: Error Trace: /home/runner/actions-runner/_work/coder/coder/scaletest/workspacetraffic/run_test.go:142 Error: Max difference between 1024 and 5120 al…,,closed
11190,issue,flake: TestStart,concurrency/race,…teACLAdminUnchanged1529304498/001 restart nice-villani8-Kkl -y testing.go:1465: race detected during execution of test ``` ``` ===== flake: TestStart ``` FAIL: enterprise/cli TestStart/RequireActiveVersion/restart/TemplateACLAdminUnchanged (1.08s) start_test.go:143: waiting for workspace build job 7b80d7de-3ae1-4f46-89ef-1bf843259431 start_test.go:143: got workspace build job 7b80d7de-3ae1-4f46-89ef-1bf843259431 clit…,,closed
11226,issue,flake: TestAgent_WriteVSCodeConfigs,concurrency/race,"…ithub.com/coder/coder/runs/19666833200 Test times out after 10 minutes due to a deadlock in shutting down the agent ``` goroutine 2555 [semacquire, 9 minutes]: sync.runtime_Semacquire(0xc0006ae1b0?) /opt/hostedtoolcache/go/1.21.5/x64/src/runtime/sema.go:62 +0x25 sync.(*WaitGroup).Wait(0xc0006ae1a8) /opt/hostedtoolcache/go/1.21.5/x64/src/sync/waitgroup.go:116 +0xa5 github.com/coder/coder/v2/agent/agentscripts.(*Runner…",,closed
11229,issue,flake: ci: potential race condition in make gen,database/transactions/migrations,…rated.ts 2426ms 2023-12-15T10:04:45.2364760Z # github.com/coder/coder/v2/coderd/database 2023-12-15T10:04:45.2400525Z ##[error]coderd/database/queries.sql.go:73:16: undefined: time 2023-12-15T10:04:45.2405154Z ##[error]coderd/database/queries.sql.go:74:16: undefined: uuid 2023-12-15T10:04:45.2406082Z ##[error]coderd/database/queries.sql.go:3267:12: undefined: flake: ci: potential race condition in make gen Seen here:…,,closed
11232,issue,flake: TestProvision_Cancel: text file busy,workspace/agent lifecycle,…oder/coder/actions/runs/7221152894/job/19675544052?pr=11231 Logs: ``` === FAIL: provisioner/terraform (0.00s) panic: test timed out after 10m0s running tests: TestProvision_Cancel (9m58s) TestProvision_Cancel/Cancel_plan (9m58s) goroutine 742 [running]: testing.(*M).startAlarm.func1() /opt/hostedtoolcache/go/1.21.5/x64/src/testing/testing.go:2259 +0x3b9 created by time.goFunc /opt/hostedtoolcache/go/1.21.5/x64/src/ti…,,closed
11238,issue,flake: enterprise/coderd TestWorkspaceAutobuild/DormancyThresholdOK,workspace/agent lifecycle,"flake: enterprise/coderd TestWorkspaceAutobuild/DormancyThresholdOK https://github.com/coder/coder/actions/runs/7225225412/job/19688201745?pr=11191 ``` workspaces_test.go:294: got workspace build job 7a98fc4b-747e-4647-b7ed-b1bac90f33db workspaces_test.go:298: Error Trace: /home/runner/actions-runner/_work/coder/coder/enterprise/coderd/workspaces_test.go:298 Error: ""[{db04064c-9054-4101-ad3f-6a1745975105 2023-12-15 1…",,closed
11239,issue,flake: TestTunnel (unknown),platform/os-specific CI behavior,flake: TestTunnel (unknown) Seen here (windows-2022): https://github.com/coder/coder/actions/runs/7225357149/job/19688636024 ``` === Failed === FAIL: coderd/devtunnel TestTunnel (unknown) === FAIL: coderd/devtunnel TestTunnel/V1 (unknown) === FAIL: coderd/devtunnel TestTunnel/V2 (unknown) ``` No further information available. flake: TestTunnel (unknown) Seen here (windows-2022): https://github.com/coder/coder/actions…,,closed
11262,issue,test flake: TestWorkspaceProxyWorkspaceApps_SingleTailnet/WorkspaceAppsProxySubdomain/SuffixWildcardOK: Condition never satisfied,networking/proxy/websocket,test flake: TestWorkspaceProxyWorkspaceApps_SingleTailnet/WorkspaceAppsProxySubdomain/SuffixWildcardOK: Condition never satisfied Seen here: https://github.com/coder/coder/actions/runs/7249326417/job/19747096613#step:5:846 ``` apptest.go:934: Error Trace: /Users/runner/work/coder/coder/coderd/workspaceapps/apptest/setup.go:460 /Users/runner/work/coder/coder/coderd/workspaceapps/apptest/apptest.go:934 Error: Condition…,,closed
11290,issue,"test flake: TestServerTailnet_ReverseProxy/HTTPSProxy: expected 209, got: 502",networking/proxy/websocket,"test flake: TestServerTailnet_ReverseProxy/HTTPSProxy: expected 209, got: 502 Seen here: https://github.com/coder/coder/actions/runs/7268008412/job/19803064399?pr=11288 ``` tailnet_test.go:132: Error Trace: /home/runner/actions-runner/_work/coder/coder/coderd/tailnet_test.go:132 Error: Not equal: expected: 209 actual : 502 Test: TestServerTailnet_ReverseProxy/HTTPSProxy ``` https://github.com/coder/coder/tree/main/co…",,closed
11294,issue,flake: TestPortForward/UDP_OnePort - EOF,networking/proxy/websocket,flake: TestPortForward/UDP_OnePort - EOF ``` portforward_test.go:150: Error Trace: /home/runner/actions-runner/_work/coder/coder/cli/portforward_test.go:351 /home/runner/actions-runner/_work/coder/coder/cli/portforward_test.go:336 /home/runner/actions-runner/_work/coder/coder/cli/portforward_test.go:150 Error: Received unexpected error: EOF Test: TestPortForward/UDP_OnePort Messages: read payload ``` seen here: https…,,closed
11308,issue,test flake: TestSSH/StartStoppedWorkspace,networking/proxy/websocket,test flake: TestSSH/StartStoppedWorkspace https://github.com/coder/coder/actions/runs/7287471624/job/19858183477 ``` panic: runtime error: invalid memory address or nil pointer dereference [recovered] panic: panic recovered for coder ssh: runtime error: invalid memory address or nil pointer dereference [signal 0xc0000005 code=0x0 addr=0x0 pc=0x7ff7a7e88e4d] goroutine 52988 [running]: github.com/coder/coder/v2/cli/cli…,,closed
11363,issue,flake: TestAgent_Stats_Magic/TracksJetBrains,networking/proxy/websocket,…JetBrains Messages: never saw stats after conn closes: &{ConnectionsByProto:map[TCP:1 TSMP:1] ConnectionCount:2 ConnectionMedianLatencyMS:0.193 RxPackets:14 RxBytes:2432 TxPackets:17 TxBytes:2[973](https://github.com/coder/coder/runs/20082711169#step:5:974) SessionCount flake: TestAgent_Stats_Magic/TracksJetBrains Seen on: https://github.com/coder/coder/runs/20082711169 ``` agent_test.go:258: Error Trace: /home/runne…,,closed
11389,issue,test flake: TestStart_Starting,resource exhaustion/timeout,"…li/start_test.go:438 Error: read error Test: TestStart_Starting Messages: match deadline exceeded: context deadline exceeded (wanted ""workspace has been started""; got "".\r\n==> ⧗ Queued\r\n=== ✔ Queued [0ms]\r\n==> ⧗ Running\r\n"") ```",,closed
11434,issue,test flake: in-memory provisionerd can trigger test failure due to ctx cancellation on heartbeat,concurrency/race,"…sioner_types=""[echo terraform]"" tags={""owner"":"""",""scope"":""organization""} error=""context canceled"" t.go:84: 2024-01-05 10:25:30.399 [debu] inmem-provisionerd-test: successful cancel t.go:84: 2024-01-05 10:25:30.399 [debu] inmem-provisionerd-test: closed stream error=<nil> t.go:84: 2024-01-05 10:25:30.399 [debu] provisionerd: graceful acquire done job_id="""" error=<nil> t.go:84: 2024-01-05 10:25:30.399 [debu] provisione…",,closed
11497,issue,"test flake: TestRename: Validation failed for tag ""username""",workspace/agent lifecycle,"…o:40: 2024-01-08 17:24:58.901: cmd: stdin: ""condescending-chandrasekhar5-FWP\r"" ptytest.go:131: 2024-01-08 17:24:58.901: cmd: ""> Type \""condescending-chandrasekhar5-FWP\"" to confirm rename: condescending-chandrasekhar5-FWP"" t.go:84: 2024-01-08 17:24:58.903 [debu] PATCH host=localhost:38019 path=/api/v2/workspaces/7ea3ca65-e5dc-40bd-b66e-ff50acb95878 proto=HTTP/1.1 remote_addr=127.0.0.1 start=""2024-01-08T17:24:58.9019…",,closed
11507,issue,flake: TestSSH/Stdio_RemoteForward_Signal,resource exhaustion/timeout,"…ui.Agent /home/runner/actions-runner/_work/coder/coder/cli/cliui/agent.go:108 - context deadline exceeded ssh_test.go:305: Error Trace: /home/runner/actions-runner/_work/coder/coder/cli/ssh_test.go:305 /home/runner/actions-runner/_work/coder/coder/cli/ssh_test.go:1057 /opt/hostedtoolcache/go/1.21.5/x64/src/runtime/asm_amd64.s:1650 Error: Received unexpected error: running command ""cod flake: TestSSH/Stdio_RemoteForwa…",,closed
11517,issue,test flake: TestAgentWebsocketMonitor_SendPings,networking/proxy/websocket,test flake: TestAgentWebsocketMonitor_SendPings Seen here: https://github.com/coder/coder/actions/runs/7463675454/job/20308911355?pr=11515 ``` === Failed === FAIL: coderd TestAgentWebsocketMonitor_SendPings (0.06s) workspaceagentsrpc_internal_test.go:231: Error Trace: C:/a/coder/coder/coderd/workspaceagentsrpc_internal_test.go:231 Error: Expected value not to be nil. Test: TestAgentWebsocketMonitor_SendPings ``` test…,,closed
11546,issue,flake: TestWorkspaceProxyWorkspaceApps/WorkspaceAppsProxySubdomain/ProxyError,networking/proxy/websocket,flake: TestWorkspaceProxyWorkspaceApps/WorkspaceAppsProxySubdomain/ProxyError ``` apptest.go:898: Error Trace: /Users/runner/work/coder/coder/coderd/workspaceapps/apptest/apptest.go:898 Error: Not equal: expected: 502 actual : 404 Test: TestWorkspaceProxyWorkspaceApps/WorkspaceAppsProxySubdomain/ProxyError ``` seen at https://github.com/coder/coder/actions/runs/7471387580/job/20331593118 flake: TestWorkspaceProxyWork…,,closed
11576,issue,flake: TestPubsub/ClosePropagatesContextCancellationToSubscription,database/transactions/migrations,…/coder/actions/runs/7489417059/job/20385945806) ``` === Failed === FAIL: coderd/database/pubsub TestPubsub/ClosePropagatesContextCancellationToSubscription (3.93s) pubsub_test.go:152: Error Trace: /home/runner/actions-runner/_work/coder/coder/coderd/database/pubsub/pubsub_test.go:152 Error: Received unexpected error: pq: Listener has been closed Test: TestPubsub/ClosePropagatesContextCancellationToSubscription === FA…,,closed
11659,issue,multiple flakes on /api/v2/users/first,networking/proxy/websocket,"…ted error: Post ""http://localhost:44613/api/v2/users/first"": net/http: HTTP/1.x transport connection broken: malformed HTTP status code ""/api/v2/users/first"" ``` e.g. https://github.com/coder/coder/actions/runs/7551232849/job/20558166512 and https://github.com/coder/coder/actions/runs/7551233273/job/20558169937 and others multiple flakes on /api/v2/users/first ``` Error: Received unexpected error: Post ""http://localh…",,closed
11735,issue,flake: scaletest/workspacetraffic TestRun/App,resource exhaustion/timeout,"… get reader: received close frame: status = StatusPolicyViolation and reason = ""timed out"" run_test.go:356: read errors: 0 run_test.go:357: write errors: 0 run_test.go:358: bytes read total: 1024 run_test.go:359: bytes written total: 1024 ``` Seen here: https://github.com/coder/coder/runs/20716735726 flake: scaletest/workspacetraffic TestRun/App ``` === FAIL: scaletest/workspacetraffic TestRun/App (2.00s) run_test.go…",,closed
12018,issue,flake: WorkspacePage › requests a delete job when the user presses Delete and confirms,timing/eventual consistency,"…ext 2-ish weeks @Parkreiner just want to bump in your notifs. No worries on the delay, feel free to unassign if you're backlog is too full. Yeah, I'll go ahead and un-assign myself for now From the error messages, it looks like we are using the right selectors for checking whether something is on screen. We're using the version that waits a little bit for something to load in, and is generally more fault-tolerant But…",,closed
12030,issue,test flake: TestWatchdog_Timeout,database/transactions/migrations,…r/coder/actions/runs/7801997439/job/21278471914 ``` === Failed === FAIL: coderd/database/pubsub TestWatchdog_Timeout (10.00s) t.go:99: 2024-02-06 15:26:26.334 [debu] context done; exiting publishLoop t.go:99: 2024-02-06 15:26:26.334 [debu] context done; exiting subscribeMonitor watchdog_test.go:85: timeout ``` test flake: TestWatchdog_Timeout Seen here: https://github.com/coder/coder/actions/runs/7801997439/job/21278…,,closed
12141,issue,flake: pgcoord: failed to write binding to database,networking/proxy/websocket,"…ey:d9c88cb39f04aa14298f300bd8871b1b9916256d3a86b91a73652e1e5229fb13\"" preferred_derp:999 derp_latency:{key:\""999-v4\"" value:0.00029301} addresses:\""fd7a:115c:a1e0:4594:bb1c:bb6b:af5c:27e7/128\"" allowed_ips:\""fd7a:115c:a1e0:4594:bb1c:bb6b:af5c:27e7/128\"" endpoints:\""127.0.0.1:53738\"" endpoints:\""172.17.0.1:53738\"" endpoints:\""192.168.100.229:53738\"""" error=""pq: insert or update on table \""tailnet_peers\"" violates fore…",,closed
12277,issue,flake: TestDERPEndToEnd nil pointer in DERPMap,networking/proxy/websocket,"flake: TestDERPEndToEnd nil pointer in DERPMap Seen here: https://github.com/coder/coder/actions/runs/8004918533/job/21863235595 Somehow, in TestDERPEndToEnd the DERP map ends up with a null region ``` t.go:99: 2024-02-22 13:05:06.248 [info] inmem-provisionerd-test: provisioner daemon disconnected ... error= InmemoryListener is already closed: use of closed network connection storj.io/drpc/drpcserver.(*Server).Serve:…",#12280,closed; linked_fix_merged
